English,French
course,notation
court,briguez
cover,recouvrir
crazy,fou
cross,traversent
crowd,acculer
cruel,cruel
cucumber,concombre
cup,tasse
custom,moralité
cycle,cycle
dance,danser
danger,danger
dangerous,dangereux
dark,obscurité
darkness,ténèbres
date,date
daughter,fille
dawn,aurore
day,journée
dear,cher
december,décembre
deep,viscérale
defeat,vainqent
degree,licence
desert,désertez
design,dessin
die,meurs
direct,dirigeons
disappear,se perdre
disease,maladie
distance,distance
divide,divisez
doctor,médecin
dog,clebs
donkey,aliboron
door,porte
doubt,doutent
dove,colombe
dream,songer
dress,habiller
drink,boisson
drunk,bu
dry,séchent
dust,poussiére
duty,obligation
each,chacun
eagle,aigle
ear,oreille
earth,mondiale
east,est
easy,léger
effect,effet
egg,oeuf
eight,huit
eighteen,dix huit
elephant,éléphant
eleven,onze
employ,braquer
empty,videz
end,se dénouer
ending,fin
engine,réacteur
enough,suffisant
entire,global
envelope,enveloppe
error,erreur
estate,bien
estimate,devis
europe,europe
evade,évader
even,soi même
ever,jaùais
every,toute
everyone,chacun
example,exemple
expensive,coûteux
expire,expirons
eye,maille
face,visage
fact,factum
factory,fabrique
faint,s'évanouir
fair,blond
faithful,loyal
FALSE,postiche
family,famille
farewell,adieu
farm,domaine
fast,vite
fat,gros
father,pere
fear,angoisse
feather,plume
february,février
feed,nourrir
fellow,ensemble
fetch,apporter
fever,fièvre
field,champ
fifteen,quinze
fifty,cinquante
file,ranger
finally,enfin
fine,tendre
finger,digitale
finished,prêt
fire,larguer
firm,social
first,premier
fish,poisson
five,cinq
flat,plat
float,flottent
floor,plancher
flour,farine
flow,coulons
flower,fleur
fly,voler
fog,masquer
fold,pliez
folk,peuple
follow,suivre
foot,pédestre
for,pour
force,forcez
foreign,-
foreigner,étrangère
forest,forestier
formerly,jadis
fountain,évent
four,quatre
fourteen,quatorze
fourth,quart
free,loisirs
friday,vendredi
friend,amie
friendly,aimable
frog,grenouille
from,flamé
fruit,fruitier
full,rempli
gain,gagner
game,jeu
garden,jardin
gate,porte
gather,cueillent
gentle,doux
get,acquérir
gift,cadeau
give,donnent
glass,verre
goal,but
goat,chevre
god,dieux
gold,or
good,bon
goodbye,adieu
goose,oie
grade,degré
grape,raisin
grass,herbe
grease,graisse
green,vert
greeting,salutation
ground,sol
guard,contrôleur
guest,convive
guide,conduire
habit,habitude
hair,chevelure
hammer,martelez
hand,ouvrier
handsome,beau
hang,pendre
happen,se passer
happy,chanceux
hard,dur
hare,lièvre
harvest,récoltent
have,avons
he,lui
head,tête
healthy,sain
hear,oyons
heart,coeur
heat,chaleur
heavy,emporté
help,aide
her,son
here,ici
high,haut
hill,élévation
hip,hanche
hit,frapper
hold,stopper
hole,réduit
honest,honnête
honey,miel
hope,erspérer
horse,cheval
hotel,hotel
hour,heure
house,maison
how,comme
however,toutefois
hundred,centaine
husband,époux
hut,hutte
i,j'
ice,glace
idea,trouvaille
illness,maladie
important,grave
in,dans
induce,induis
industrious,assidûment
inexpensive,abordable
infant,enfant
inhabitant,habitant
ink,encre
inside,dans
interesting,intéressant
iron,fer à repasser
island,île
january,janvier
job,métier
join,joignent
journey,voyage
joy,joie
judge,juge
jug,pot
juice,jus
july,juillet
jump,sautent
june,juin
just,juste
key,clé
kill,tuent
kind,aimable
king,dame
knee,genou
knife,lingue
know,savons
lake,marin
lamp,lampe
land,atterrir
language,parole
large,grand
last,dernier
law,loi
lead,guider
leader,causeur
leaf,feuille
lean,maigre
leap,sauter
leather,cuir
leave,laisser
leg,jambe
lemon,citron
letter,missive
lie,mentir
life,vie
light,camoufle
lightning,fulgurer
like,de suite
line,raie
lion,lion
lip,lèvre
list,énumérer
little,petit
liver,foie
load,chargement
loaf,pain
lobster,homard
long,longuement
look,regardons
love,aimez
lovely,charmant
low,inférieure
loyal,loyal
lump,morceau
machine,machine
mad,fou
magazine,gazette
man,mâle
march,marcher
market,commercialisons
matter,matière
mattress,matelas
may,mai
maybe,peut-être
me,je
meal,repas
means,ressource
measure,mesurent
meat,viande
medicine,médicament
milk,trayez
minute,minute
mirror,miroiter
miserable,malchanceux
mist,brouillard
mistake,trompons
mix,mêler
monday,lundi
money,monnaie
monkey,singe
month,mois
moon,lune
mother,maternel
mountain,montagne
mouse,souris
mouth,bouche
mud,boue
mushroom,champignon de couche
nail,clou
name,qualifier
narrow,pressé
nasty,vilain
nation,peuple
nature,nature
nearly,quasiment
necessary,necessaire
neck,cou
need,indigence
needle,aiguille
never,ne jamais
new,nouveau
newspaper,journal
next,puis
nice,agréable
night,nuit
nine,neuf
nineteen,dix neuf
no,non
north,nord
nose,nez
note,nota
novel,roman
november,novembre
now,maintenant
number,numéral
nurse,infirmière
oats,avoine
object,objet
october,octobre
office,charge
offset,bifurquer
often,souvent
oil,huile
one,une
onion,oignon
only,seul
outside,dehors
pail,seau
palace,palais
pale,pâle
pants,pantalon
paper,document
parsley,persil
part,contingent
path,sentier
paw,patte
pay,payent
peace,paix
pencil,crayon
people,peuple
pepper,poivre
perform,construire
perhaps,peut-être
peril,danger
picture,figure
piece,fragment
pig,cochon
pigeon,sourde
pipe,pipe
place,astro
plain,unie
plan,planifier
plane,projet
please,plaisent
pocket,empochez
pole,pôle
poor,pauvre
pork,porc
port,connexion
possibly,peut-être
post,fonction
potato,pomme-de-terre
present,présenter
price,tarifaire
profit,bénéficient
property,bien
punish,punissent
pure,pur
purpose,dgssein
quick,nerveux
rabbit,lapin
rain,pleuvoir
rank,rangée
rapid,torrentueux
rat,rat
rate,taxer
rather,certes
ready,prêt
reason,raison
receive,phagocyter
red,rouge
register,recommander
repeat,répétez
reply,répondre
rest,reposent
rice,riz
right,droit
ring,cerne
river,fleuve
road,chemin
rock,bercer
roof,toit
room,chambre
root,enraciner
rope,funiculaire
round,cyclo
route,parcours
row,tintamarre
run,courent
sack,ficher
safety,sécurité
salary,appointements
salt,sel
sand,sableuxse
school,école
scream,jacasser
sea,mer
second,second
security,sûreté
see,voyez
send,envoyons
sentence,condamner
separate,particulier
september,septembre
serious,grave
serpent,serpent
servant,serviteur
seven,sept
seventeen,dix-sept
seventy,septante
sex,sexe
shack,hutte
shadow,ombre
share,partageons
sharp,acéré
sheep,gobeur
sheet,feuille
shop,magasin
shore,riverain
short,court
shoulder,épaule
sign,signent
silver,argent
since,car
sing,chanter
sister,soeur
six,zéro
sixteen,seize
sixth,sixième
sixty,soixante
skin,peau
sleep,pioncer
slender,fluet
slow,décélérent
small,petit
smell,sentir
smoke,fumons
smooth,plat
snake,guivre
snow,neigeux
so,tellement
soap,savon
soft,moelleux
soldier,soldat
sole,seul
some,un peu
son,fils
source,source
south,midi
speedy,rapide
spoon,cuiller
spring,ressort
square,carré
stand,kiosque
star,étoile
statue,statue
steal,volons
steel,acier
stomach,estomac
stone,pierre
store,entreposez
story,fabliau
strange,étrange
stream,courant
string,corde
stroll,promenade
strong,salement
sugar,sucre
sum,somme
summer,été
sun,soleil
sunday,dimanche
sweet,doux
swift,rapide
swim,nager
table,tableau
tail,-
take,admettre
take in,agréer
tall,haut
taste,déguster
tax,impot
tea,thé
tear,déchirer
ten,dix
tender,doux
test,essayer
there,là
therefore,donc
they,on
thick,dense
thigh,cuisse
thing,truc
think,méditation
third,tierce
thirteen,treize
thirty,trente
thorn,épine
thousand,-
thread,enfiler
three,trois
through,prêt
throw,jetent
thursday,jeudi
ticket,billet
tie,cravate
timber,-
time,fois
tin,fer-blanc
to,à
tobacco,tabac
today,aujourd'hui
tongue,langage
too,trop
tooth,dent
town,urbain
train,escort
travel,voyagez
tree,arbre
trip,voyage
trouble,génons
trousers,pantalon
TRUE,vrai
trunk,torse
truth,verité
try,peiner
tuesday,mardi
turn,dévier
twelve,douze
twenty,vingt
two,deux
umbrella,parapluie
uncle,oncle
under,là dessous
upstairs,dessus
us,nous
use,employer
valley,vallée
valuable,cher
vegetable,légume
very,très
vessel,navire
view,gré
village,village
visit,visitons
void,vide
voyage,voyage
wage,appointements
wages,salaire
waiter,garçon
walk,promenade
wall,paroi
war,guerre
watch,horloge
water,arrosez
waterfall,cascade
way,chemin
wealthy,riche
wear,porter
wednesday,mercredi
week,suante
well,puits
west,couchant
whale,baleine
what,hein
wheel,roue
when,quand
white,blanc
wind,emmailloter
wine,vin
wing,piano à queue
winter,hiver
with,avec
without,dénué de
woman,madame
wood,-
word,mot
work,ouvrer
world,mondiale
yard,coudée
year,année
yellow,jaune
yes,si
yesterday,hier
yet,néanmoins
you,te
young,jeune
zero,zero
